Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
8,60,"Persiapkanlah untuk (menghadapi) mereka apa yang kamu mampu, berupa kekuatan (yang kamu miliki) dan pasukan berkuda. Dengannya (persiapan itu) kamu membuat gentar musuh Allah, musuh kamu dan orang-orang selain mereka yang kamu tidak mengetahuinya, (tetapi) Allah mengetahuinya. Apa pun yang kamu infakkan di jalan Allah niscaya akan dibalas secara penuh kepadamu, sedangkan kamu tidak akan dizalimi.",siap mampu upa kuat pasu kuda dengan buat gentar musuh musuh tahu tahu infak jalan niscaya balas penuh kepada zalim,persiapkanlah mampu berupa kekuatan pasukan berkuda dengannya membuat gentar musuh musuh mengetahuinya mengetahuinya infakkan jalan niscaya dibalas penuh kepadamu dizalimi,persiapkanlah untuk mereka apa yang kamu mampu berupa kekuatan dan pasukan berkuda dengannya kamu membuat gentar musuh allah musuh kamu dan orang orang selain mereka yang kamu tidak mengetahuinya allah mengetahuinya apa pun yang kamu infakkan di jalan allah niscaya akan dibalas secara penuh kepadamu sedangkan kamu tidak akan dizalimi
8,61,"(Akan tetapi,) jika mereka condong pada perdamaian, condonglah engkau (Nabi Muhammad) padanya dan bertawakallah kepada Allah. Sesungguhnya hanya Dialah Yang Maha Mendengar lagi Maha Mengetahui.",condong damai condong pada tawakal dia maha dengar maha tahu,condong perdamaian condonglah padanya bertawakallah dialah maha mendengar maha mengetahui,jika mereka condong pada perdamaian condonglah engkau padanya dan bertawakallah kepada allah sesungguhnya hanya dialah yang maha mendengar lagi maha mengetahui
8,62,"Jika mereka hendak menipumu, sesungguhnya cukuplah Allah (menjadi Pelindung) bagimu. Dialah yang memperkuat kamu dengan pertolongan-Nya dan dengan (dukungan) orang-orang mukmin.",hendak tipu cukup bagi dia kuat tolong mukmin,hendak menipumu cukuplah bagimu dialah memperkuat pertolongan mukmin,jika mereka hendak menipumu sesungguhnya cukuplah allah bagimu dialah yang memperkuat kamu dengan pertolongan nya dan dengan orang orang mukmin
8,63,"Dia (Allah) mempersatukan hati mereka (orang yang beriman). Seandainya engkau (Nabi Muhammad) menginfakkan semua (kekayaan) yang berada di bumi, niscaya engkau tidak dapat mempersatukan hati mereka, tetapi Allah telah mempersatukan hati mereka. Sesungguhnya Dia Maha Perkasa lagi Maha Bijaksana.",satu hati anda infak ada bumi niscaya dapat satu hati satu hati maha perkasa maha bijaksana,mempersatukan hati seandainya menginfakkan berada bumi niscaya dapat mempersatukan hati mempersatukan hati maha perkasa maha bijaksana,dia mempersatukan hati mereka seandainya engkau menginfakkan semua yang berada di bumi niscaya engkau tidak dapat mempersatukan hati mereka tetapi allah telah mempersatukan hati mereka sesungguhnya dia maha perkasa lagi maha bijaksana
8,64,"Wahai Nabi (Muhammad), cukuplah Allah (menjadi pelindung) bagi engkau dan bagi orang-orang mukmin yang mengikutimu.",wahai nabi cukup bagi mukmin ikut,wahai nabi cukuplah bagi mukmin mengikutimu,wahai nabi cukuplah allah bagi engkau dan bagi orang orang mukmin yang mengikutimu
8,65,"Wahai Nabi (Muhammad), kobarkanlah semangat orang-orang mukmin untuk berperang. Jika ada dua puluh orang yang sabar di antara kamu, niscaya mereka dapat mengalahkan dua ratus (orang musuh); dan jika ada seratus orang (yang sabar) di antara kamu, niscaya mereka dapat mengalahkan seribu orang kafir karena mereka (orang-orang kafir itu) adalah kaum yang tidak memahami.)",wahai nabi kobar semangat mukmin perang puluh sabar antara niscaya dapat kalah ratus ada ratus antara niscaya dapat kalah ribu kafir kaum paham,wahai nabi kobarkanlah semangat mukmin berperang puluh sabar antara niscaya dapat mengalahkan ratus ada seratus antara niscaya dapat mengalahkan seribu kafir kaum memahami,wahai nabi kobarkanlah semangat orang orang mukmin untuk berperang jika ada dua puluh orang yang sabar di antara kamu niscaya mereka dapat mengalahkan dua ratus dan jika ada seratus orang di antara kamu niscaya mereka dapat mengalahkan seribu orang kafir karena mereka adalah kaum yang tidak memahami
8,66,"Sekarang (saat turunnya ayat ini) Allah telah meringankan kamu karena Dia mengetahui sesungguhnya ada kelemahan padamu. Jika di antara kamu ada seratus orang yang sabar, niscaya mereka dapat mengalahkan dua ratus (orang musuh) dan jika di antara kamu ada seribu orang (yang sabar), niscaya mereka dapat mengalahkan dua ribu orang dengan seizin Allah. Allah beserta orang-orang yang sabar.",sekarang ringan dia tahu lemah pada ratus sabar niscaya dapat kalah ratus antara ribu niscaya dapat kalah ribu izin serta sabar,sekarang meringankan dia mengetahui kelemahan padamu seratus sabar niscaya dapat mengalahkan ratus antara seribu niscaya dapat mengalahkan ribu seizin beserta sabar,sekarang allah telah meringankan kamu karena dia mengetahui sesungguhnya ada kelemahan padamu jika di antara kamu ada seratus orang yang sabar niscaya mereka dapat mengalahkan dua ratus dan jika di antara kamu ada seribu orang niscaya mereka dapat mengalahkan dua ribu orang dengan seizin allah allah beserta orang orang yang sabar
8,67,"Tidaklah (sepatutnya) bagi seorang nabi mempunyai tawanan sebelum dia dapat melumpuhkan musuhnya di bumi. Kamu menghendaki harta benda duniawi, sedangkan Allah menghendaki (pahala) akhirat (untukmu). Allah Maha Perkasa lagi Maha Bijaksana.",tidak orang nabi tawan dia lumpuh musuh bumi hendak harta benda duniawi hendak akhirat maha perkasa maha bijaksana,tidaklah seorang nabi tawanan dia melumpuhkan musuhnya bumi menghendaki harta benda duniawi menghendaki akhirat maha perkasa maha bijaksana,tidaklah bagi seorang nabi mempunyai tawanan sebelum dia dapat melumpuhkan musuhnya di bumi kamu menghendaki harta benda duniawi sedangkan allah menghendaki akhirat allah maha perkasa lagi maha bijaksana
8,68,"Seandainya tidak ada ketetapan terdahulu dari Allah,) niscaya kamu ditimpa siksaan yang besar karena (tebusan) yang kamu ambil.",anda ada tetap dahulu niscaya timpa siksa besar ambil,seandainya ada ketetapan terdahulu niscaya ditimpa siksaan besar ambil,seandainya tidak ada ketetapan terdahulu dari allah niscaya kamu ditimpa siksaan yang besar karena yang kamu ambil
8,69,"(Jika demikian halnya ketetapan Allah,) makanlah (dan manfaatkanlah) sebagian rampasan perang yang telah kamu peroleh itu sebagai makanan yang halal lagi baik dan bertakwalah kepada Allah. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",makan bagi rampas perang oleh makan halal baik takwa maha kam maha sayang,makanlah sebagian rampasan perang peroleh makanan halal baik bertakwalah maha pengampun maha penyayang,makanlah sebagian rampasan perang yang telah kamu peroleh itu sebagai makanan yang halal lagi baik dan bertakwalah kepada allah sesungguhnya allah maha pengampun lagi maha penyayang
8,70,"Wahai Nabi (Muhammad), katakanlah kepada para tawanan perang yang ada di tanganmu, “Jika Allah mengetahui ada kebaikan di dalam hatimu, niscaya Dia akan menganugerahkan kepada kamu yang lebih baik daripada apa (tebusan) yang telah diambil dari kamu dan Dia akan mengampuni kamu.” Allah Maha Pengampun lagi Maha Penyayang.",wahai nabi kata tawan perang tangan tahu ada baik hati niscaya anugerah baik ambil dia ampun maha kam maha sayang,wahai nabi katakanlah tawanan perang tanganmu mengetahui ada kebaikan hatimu niscaya menganugerahkan baik diambil dia mengampuni maha pengampun maha penyayang,wahai nabi katakanlah kepada para tawanan perang yang ada di tanganmu jika allah mengetahui ada kebaikan di dalam hatimu niscaya dia akan menganugerahkan kepada kamu yang lebih baik daripada apa yang telah diambil dari kamu dan dia akan mengampuni kamu allah maha pengampun lagi maha penyayang
8,71,"Akan tetapi, jika mereka (para tawanan itu) hendak mengkhianatimu (Nabi Muhammad), sungguh sebelumnya mereka telah berkhianat kepada Allah. Lalu, Dia menjadikanmu menguasai mereka (pada perang Badar). Allah Maha Mengetahui lagi Maha Bijaksana.",hendak khianat belum khianat jadi kuasa maha tahu maha bijaksana,hendak mengkhianatimu sebelumnya berkhianat menjadikanmu menguasai maha mengetahui maha bijaksana,akan tetapi jika mereka hendak mengkhianatimu sungguh sebelumnya mereka telah berkhianat kepada allah lalu dia menjadikanmu menguasai mereka allah maha mengetahui lagi maha bijaksana
8,72,"Sesungguhnya orang-orang yang beriman, berhijrah, dan berjihad dengan harta dan jiwanya pada jalan Allah, serta orang-orang yang memberikan tempat kediaman dan memberi pertolongan (kepada Muhajirin), mereka itu sebagiannya merupakan pelindung) bagi sebagian yang lain. Orang-orang yang beriman tetapi belum berhijrah, maka tidak ada kewajiban sedikit pun atas kamu untuk melindungi mereka sehingga mereka berhijrah. (Akan tetapi,) jika mereka meminta pertolongan kepadamu dalam (urusan pembelaan) agama (Islam), wajib atas kamu memberikan pertolongan, kecuali dalam menghadapi kaum yang telah terikat perjanjian antara kamu dengan mereka. Allah Maha Melihat apa yang kamu kerjakan.",iman hijrah jihad harta jiwa jalan beri tempat diam beri tolong bagi lindung bagi lain iman hijrah wajib sedikit atas lindung sehingga hijrah minta tolong kepada agama wajib atas beri tolong hadap kaum ikat janji maha lihat kerja,beriman berhijrah berjihad harta jiwanya jalan memberikan tempat kediaman memberi pertolongan sebagiannya pelindung sebagian lain beriman berhijrah kewajiban sedikit atas melindungi sehingga berhijrah meminta pertolongan kepadamu agama wajib atas memberikan pertolongan menghadapi kaum terikat perjanjian maha melihat kerjakan,sesungguhnya orang orang yang beriman berhijrah dan berjihad dengan harta dan jiwanya pada jalan allah serta orang orang yang memberikan tempat kediaman dan memberi pertolongan mereka itu sebagiannya merupakan pelindung bagi sebagian yang lain orang orang yang beriman tetapi belum berhijrah maka tidak ada kewajiban sedikit pun atas kamu untuk melindungi mereka sehingga mereka berhijrah jika mereka meminta pertolongan kepadamu dalam agama wajib atas kamu memberikan pertolongan kecuali dalam menghadapi kaum yang telah terikat perjanjian antara kamu dengan mereka allah maha melihat apa yang kamu kerjakan
8,73,"Orang-orang yang kufur, sebagian mereka menjadi penolong bagi sebagian yang lain. Jika kamu tidak melaksanakan apa yang telah diperintahkan Allah (untuk saling melindungi), niscaya akan terjadi kekacauan di bumi dan kerusakan yang besar.",kufur bagi tolong bagi lain laksana perintah niscaya jadi kacau bumi rusa besar,kufur sebagian penolong sebagian lain melaksanakan diperintahkan niscaya terjadi kekacauan bumi kerusakan besar,orang orang yang kufur sebagian mereka menjadi penolong bagi sebagian yang lain jika kamu tidak melaksanakan apa yang telah diperintahkan allah niscaya akan terjadi kekacauan di bumi dan kerusakan yang besar
8,74,"Orang-orang yang beriman, berhijrah, dan berjihad di jalan Allah, serta orang-orang yang memberi tempat kediaman dan memberi pertolongan (kepada orang Muhajirin), mereka itulah orang-orang mukmin yang sebenarnya. Bagi mereka ampunan (yang besar) dan rezeki yang mulia.",iman hijrah jihad jalan beri tempat diam beri tolong itu mukmin benar ampun rezeki mulia,beriman berhijrah berjihad jalan memberi tempat kediaman memberi pertolongan itulah mukmin sebenarnya ampunan rezeki mulia,orang orang yang beriman berhijrah dan berjihad di jalan allah serta orang orang yang memberi tempat kediaman dan memberi pertolongan mereka itulah orang orang mukmin yang sebenarnya bagi mereka ampunan dan rezeki yang mulia
8,75,"Orang-orang yang beriman setelah itu, berhijrah, dan berjihad bersamamu, maka mereka itu termasuk (golongan) kamu. Orang-orang yang mempunyai hubungan kerabat itu sebagiannya lebih berhak bagi sebagian yang lain menurut Kitab Allah. Sesungguhnya Allah Maha Mengetahui segala sesuatu.",iman hijrah jihad sama masuk hubung kerabat bagi hak bagi lain kitab maha tahu segala,beriman berhijrah berjihad bersamamu termasuk hubungan kerabat sebagiannya berhak sebagian lain kitab maha mengetahui segala,orang orang yang beriman setelah itu berhijrah dan berjihad bersamamu maka mereka itu termasuk kamu orang orang yang mempunyai hubungan kerabat itu sebagiannya lebih berhak bagi sebagian yang lain menurut kitab allah sesungguhnya allah maha mengetahui segala sesuatu
9,1,Berjalanlah kamu (kaum musyrik) di bumi selama empat bulan dan ketahuilah bahwa kamu tidak dapat melemahkan Allah. Sesungguhnya Allah menghinakan orang-orang kafir.,jalan bumi empat bulan tahu dapat lemah hina kafir,berjalanlah bumi empat bulan ketahuilah dapat melemahkan menghinakan kafir,berjalanlah kamu di bumi selama empat bulan dan ketahuilah bahwa kamu tidak dapat melemahkan allah sesungguhnya allah menghinakan orang orang kafir
9,2,"Suatu maklumat dari Allah dan Rasul-Nya kepada umat manusia pada hari haji akbar) bahwa sesungguhnya Allah dan Rasul-Nya berlepas diri dari orang-orang musyrik. Jika kamu (kaum musyrik) bertobat, itu lebih baik bagimu; dan jika kamu berpaling, ketahuilah bahwa kamu tidak dapat melemahkan Allah. Berilah kabar ‘gembira’ (Nabi Muhammad) kepada orang-orang yang kufur (bahwa mereka akan mendapat) azab yang pedih.",maklumat rasul umat manusia hari haji akbar rasul lepas diri musyrik tobat baik bagi paling tahu dapat lemah ilah kabar gembira kufur azab pedih,maklumat rasul umat manusia hari haji akbar rasul berlepas diri musyrik bertobat baik bagimu berpaling ketahuilah dapat melemahkan berilah kabar gembira kufur azab pedih,suatu maklumat dari allah dan rasul nya kepada umat manusia pada hari haji akbar bahwa sesungguhnya allah dan rasul nya berlepas diri dari orang orang musyrik jika kamu bertobat itu lebih baik bagimu dan jika kamu berpaling ketahuilah bahwa kamu tidak dapat melemahkan allah berilah kabar gembira kepada orang orang yang kufur azab yang pedih
9,3,"(Ketetapan itu berlaku,) kecuali atas orang-orang musyrik yang telah mengadakan perjanjian dengan kamu dan mereka sedikit pun tidak mengurangi (isi perjanjian) dan tidak (pula) mereka membantu seseorang pun yang memusuhi kamu. Maka, terhadap mereka itu penuhilah janjinya sampai batas waktunya. Sesungguhnya Allah menyukai orang-orang yang bertakwa.",atas musyrik ada janji sedikit kurang bantu orang musuh penuh janji batas waktu suka takwa,atas musyrik mengadakan perjanjian sedikit mengurangi membantu seseorang memusuhi penuhilah janjinya batas waktunya menyukai bertakwa,kecuali atas orang orang musyrik yang telah mengadakan perjanjian dengan kamu dan mereka sedikit pun tidak mengurangi dan tidak mereka membantu seseorang pun yang memusuhi kamu maka terhadap mereka itu penuhilah janjinya sampai batas waktunya sesungguhnya allah menyukai orang orang yang bertakwa
9,4,"Apabila bulan-bulan haram telah berlalu,) bunuhlah (dalam peperangan) orang-orang musyrik (yang selama ini menganiaya kamu) di mana saja kamu temui! Tangkaplah dan kepunglah mereka serta awasilah di setiap tempat pengintaian! Jika mereka bertobat dan melaksanakan salat serta menunaikan zakat, berilah mereka kebebasan. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",apabila bulan bulan haram lalu bunuh musyrik mana temu tangkap kepung awas tempat intai tobat laksana salat tunai zakat ilah bebas maha kam maha sayang,apabila bulan bulan haram berlalu bunuhlah musyrik mana temui tangkaplah kepunglah awasilah tempat pengintaian bertobat melaksanakan salat menunaikan zakat berilah kebebasan maha pengampun maha penyayang,apabila bulan bulan haram telah berlalu bunuhlah orang orang musyrik di mana saja kamu temui tangkaplah dan kepunglah mereka serta awasilah di setiap tempat pengintaian jika mereka bertobat dan melaksanakan salat serta menunaikan zakat berilah mereka kebebasan sesungguhnya allah maha pengampun lagi maha penyayang
9,5,"Jika seseorang di antara orang-orang musyrik ada yang meminta pelindungan kepada engkau (Nabi Muhammad), lindungilah dia supaya dapat mendengar firman Allah kemudian antarkanlah dia ke tempat yang aman baginya. (Demikian) itu karena sesungguhnya mereka adalah kaum yang tidak mengetahui.",orang antara musyrik minta lindung lindung dengar firman antar tempat aman bagi kaum tahu,seseorang antara musyrik meminta pelindungan lindungilah mendengar firman antarkanlah tempat aman baginya kaum mengetahui,jika seseorang di antara orang orang musyrik ada yang meminta pelindungan kepada engkau lindungilah dia supaya dapat mendengar firman allah kemudian antarkanlah dia ke tempat yang aman baginya itu karena sesungguhnya mereka adalah kaum yang tidak mengetahui
9,6,"Bagaimana mungkin ada perjanjian (damai) untuk orang-orang musyrik di sisi Allah dan Rasul-Nya, kecuali untuk orang-orang yang kamu telah membuat perjanjian (Hudaibiah) dengan mereka di dekat Masjidilharam? Selama mereka berlaku lurus terhadapmu, berlaku luruslah pula kamu terhadap mereka. Sesungguhnya Allah mencintai orang-orang yang bertakwa.",janji musyrik sisi rasul buat janji dekat masjidilharam laku lurus hadap laku lurus cinta takwa,perjanjian musyrik sisi rasul membuat perjanjian dekat masjidilharam berlaku lurus terhadapmu berlaku luruslah mencintai bertakwa,bagaimana mungkin ada perjanjian untuk orang orang musyrik di sisi allah dan rasul nya kecuali untuk orang orang yang kamu telah membuat perjanjian dengan mereka di dekat masjidilharam selama mereka berlaku lurus terhadapmu berlaku luruslah pula kamu terhadap mereka sesungguhnya allah mencintai orang orang yang bertakwa
